GEOID,County,State,hhincome,pop,medage
01103,Morgan County, Alabama,47529,119157,40.1
01109,Pike County, Alabama,35684,33287,31.4
01021,Chilton County, Alabama,43501,43805,38.9
01033,Colbert County, Alabama,45477,54435,42.5
01037,Coosa County, Alabama,34792,10955,45.9
01045,Dale County, Alabama,44711,49393,37.1
01065,Hale County, Alabama,34679,14995,39.8
01055,Etowah County, Alabama,42064,103132,40.9
01049,DeKalb County, Alabama,38842,71194,39
01053,Escambia County, Alabama,35026,37621,39.6
01075,Lamar County, Alabama,36016,14021,44.5
01111,Randolph County, Alabama,39485,22530,42.7
01013,Butler County, Alabama,36326,20126,40.7
01097,Mobile County, Alabama,45802,414328,37.3
01035,Conecuh County, Alabama,30434,12649,44.5
01105,Perry County, Alabama,22973,9680,37.6
01127,Walker County, Alabama,38872,64927,42.3
01029,Cleburne County, Alabama,37396,14939,41.7
01063,Greene County, Alabama,20954,8533,42
01005,Barbour County, Alabama,33368,26201,39.7
01007,Bibb County, Alabama,43404,22580,39.8
01011,Bullock County, Alabama,29655,10478,40.8
01015,Calhoun County, Alabama,43686,115527,39.1
01017,Chambers County, Alabama,37342,33895,43
01025,Clarke County, Alabama,33827,24625,42.2
01057,Fayette County, Alabama,36541,16657,43.6
01101,Montgomery County, Alabama,46545,227120,35.9
01095,Marshall County, Alabama,41104,94738,38.8
01009,Blount County, Alabama,47412,57667,40.9
01067,Henry County, Alabama,45569,17110,43.5
01089,Madison County, Alabama,61318,353213,38.2
01001,Autauga County, Alabama,55317,55036,37.8
01123,Tallapoosa County, Alabama,42181,40756,43.3
01061,Geneva County, Alabama,39293,26572,42.7
01131,Wilcox County, Alabama,27012,10919,40.5
02150,Kodiak Island Borough, Alaska,74167,13773,33.1
02068,Denali Borough, Alaska,83295,2303,38.4
02261,Valdez-Cordova Census Area, Alaska,86019,9439,40
02122,Kenai Peninsula Borough, Alaska,65279,57961,40.6
02016,Aleutians West Census Area, Alaska,85192,5784,37.7
02060,Bristol Bay Borough, Alaska,79500,917,41.8
02188,Northwest Arctic Borough, Alaska,61533,7715,26.6
02050,Bethel Census Area, Alaska,53853,17957,26.9
02185,North Slope Borough, Alaska,77266,9757,34.6
02220,Sitka City and Borough, Alaska,70765,8810,38.9
02090,Fairbanks North Star Borough, Alaska,76250,100031,31
02130,Ketchikan Gateway Borough, Alaska,67321,13745,39.5
02170,Matanuska-Susitna Borough, Alaska,74887,101135,34.9
02282,Yakutat City and Borough, Alaska,64583,682,39.4
02180,Nome Census Area, Alaska,53821,9869,27.9
02070,Dillingham Census Area, Alaska,58708,4974,30.1
02100,Haines Borough, Alaska,70640,2537,45
02110,Juneau City and Borough, Alaska,90749,32434,38
02164,Lake and Peninsula Borough, Alaska,45208,1301,32.3
02240,Southeast Fairbanks Census Area, Alaska,63866,6889,36.6
02290,Yukon-Koyukuk Census Area, Alaska,37819,5453,34.7
02020,Anchorage Municipality, Alaska,82271,298225,33.1
02013,Aleutians East Borough, Alaska,66607,3338,42.7
02198,Prince of Wales-Hyder Census Area, Alaska,52114,6473,41
02275,Wrangell City and Borough, Alaska,56094,2475,49.1
02105,Hoonah-Angoon Census Area, Alaska,57900,2146,48.9
02230,Skagway Municipality, Alaska,70673,1038,42.9
02195,Petersburg Borough, Alaska,63490,3275,41.7
02158,Kusilvak Census Area, Alaska,36468,8129,24
04019,Pima County, Arizona,48676,1007257,38.2
04013,Maricopa County, Arizona,58580,4155501,36
04007,Gila County, Arizona,41179,53145,49.3
04009,Graham County, Arizona,48173,37700,33.1
04023,Santa Cruz County, Arizona,39630,46358,36.6
04003,Cochise County, Arizona,47847,126516,40.5
04012,La Paz County, Arizona,36479,20477,56
04015,Mohave County, Arizona,41567,204691,50.4
04001,Apache County, Arizona,32360,71602,34.2
04005,Coconino County, Arizona,53523,138639,30.6
04025,Yavapai County, Arizona,48259,220972,52.2
04027,Yuma County, Arizona,43253,204281,34.1
04011,Greenlee County, Arizona,56298,9368,33.4
04017,Navajo County, Arizona,38798,107902,35.9
04021,Pinal County, Arizona,52628,405537,38.5
05145,White County, Arkansas,44074,78706,36.3
05099,Nevada County, Arkansas,36995,8528,43.8
05123,St. Francis County, Arkansas,33102,26688,38.4
05119,Pulaski County, Arkansas,48850,392848,36.7
05021,Clay County, Arkansas,32219,15190,43.4
05037,Cross County, Arkansas,41081,17164,40.7
05039,Dallas County, Arkansas,35794,7585,43.7
05043,Drew County, Arkansas,36092,18620,36.5
05027,Columbia County, Arkansas,37072,23992,36.2
05121,Randolph County, Arkansas,35930,17514,42.2
05125,Saline County, Arkansas,58985,116252,39
05141,Van Buren County, Arkansas,34428,16751,47.6
05009,Boone County, Arkansas,40727,37212,42.2
05065,Izard County, Arkansas,39135,13521,48
05063,Independence County, Arkansas,39945,37097,39.8
05079,Lincoln County, Arkansas,38873,13885,38.6
05083,Logan County, Arkansas,37982,21802,42.2
05053,Grant County, Arkansas,49968,18076,39.9
05035,Crittenden County, Arkansas,38558,49278,35
05047,Franklin County, Arkansas,39472,17803,41.4
05045,Faulkner County, Arkansas,50316,121282,32.3
05109,Pike County, Arkansas,36893,10893,41.8
05069,Jefferson County, Arkansas,37630,71373,39
05089,Marion County, Arkansas,36113,16374,51.8
05097,Montgomery County, Arkansas,35252,9059,50
05127,Scott County, Arkansas,37396,10584,41.2
05129,Searcy County, Arkansas,36716,7925,47.3
05131,Sebastian County, Arkansas,40932,127362,37.3
05033,Crawford County, Arkansas,43504,62119,38.7
05007,Benton County, Arkansas,61271,251823,35.2
05017,Chicot County, Arkansas,32412,11008,43.3
05059,Hot Spring County, Arkansas,40626,33480,41.7
05071,Johnson County, Arkansas,35758,26155,37.8
05077,Lee County, Arkansas,27901,9614,41.9
05087,Madison County, Arkansas,42894,15907,42.5
05041,Desha County, Arkansas,27036,12094,40.2
05049,Fulton County, Arkansas,36051,12092,48.1
05061,Howard County, Arkansas,34851,13472,38.5
05051,Garland County, Arkansas,41672,97994,44.7
05093,Mississippi County, Arkansas,36417,43534,36.1
05115,Pope County, Arkansas,40668,63372,34.9
05117,Prairie County, Arkansas,41244,8309,45.7
05139,Union County, Arkansas,41106,40022,39.7
05147,Woodruff County, Arkansas,30097,6763,45.3
05023,Cleburne County, Arkansas,42312,25361,48.9
05025,Cleveland County, Arkansas,44840,8332,42.6
05067,Jackson County, Arkansas,32783,17429,40.5
05057,Hempstead County, Arkansas,38701,22154,38.9
05135,Sharp County, Arkansas,31792,17041,47.3
05137,Stone County, Arkansas,33091,12443,49.5
05143,Washington County, Arkansas,47452,223683,31.5
05055,Greene County, Arkansas,45566,44197,37.7
05005,Baxter County, Arkansas,40072,41093,51.8
05003,Ashley County, Arkansas,36407,20771,41.8
05031,Craighead County, Arkansas,45672,104246,34
05073,Lafayette County, Arkansas,32500,7051,45.8
05105,Perry County, Arkansas,46168,10320,43.7
05149,Yell County, Arkansas,39696,21601,39.7
05107,Phillips County, Arkansas,26652,19518,38.2
05111,Poinsett County, Arkansas,37487,24098,39.7
05133,Sevier County, Arkansas,43675,17206,35
05013,Calhoun County, Arkansas,37225,5194,45.2
05019,Clark County, Arkansas,37144,22495,33.8
05011,Bradley County, Arkansas,36310,10994,40.6
05075,Lawrence County, Arkansas,37603,16777,42
05095,Monroe County, Arkansas,31584,7420,46.1
05113,Polk County, Arkansas,33870,20212,43.8
05029,Conway County, Arkansas,39638,20954,41.2
05103,Ouachita County, Arkansas,32136,24378,42.8
05101,Newton County, Arkansas,38134,7898,48.8
05001,Arkansas County, Arkansas,38532,18352,40.9
05081,Little River County, Arkansas,36963,12494,42.5
05085,Lonoke County, Arkansas,57290,71568,35.8
05015,Carroll County, Arkansas,39686,27782,44.6
05091,Miller County, Arkansas,41862,43760,38.5
06049,Modoc County, California,39296,9017,47.8
06047,Merced County, California,46338,267390,30.8
06033,Lake County, California,40446,64095,45.8
06043,Mariposa County, California,51385,17658,51.1
06115,Yuba County, California,51776,74644,32.4
06013,Contra Costa County, California,88456,1123678,39.2
06027,Inyo County, California,51500,18195,45.6
06035,Lassen County, California,54083,31470,36.2
06099,Stanislaus County, California,54260,535684,33.9
06083,Santa Barbara County, California,68023,442996,33.7
06097,Sonoma County, California,71769,500943,41.4
06103,Tehama County, California,42512,63247,41.1
06025,Imperial County, California,44779,179957,32.2
06051,Mono County, California,60595,14058,38.3
06069,San Benito County, California,80760,58671,35.4
06001,Alameda County, California,85743,1629615,37.3
06067,Sacramento County, California,60239,1495400,35.9
06017,El Dorado County, California,74885,185015,45.5
06055,Napa County, California,79637,141005,40.8
06073,San Diego County, California,70588,3283665,35.4
06053,Monterey County, California,63249,433168,33.9
06075,San Francisco County, California,96265,864263,38.3
06091,Sierra County, California,44190,2885,55
06107,Tulare County, California,44871,458809,30.6
06113,Yolo County, California,61621,212605,30.9
06023,Humboldt County, California,43718,135490,37.7
06057,Nevada County, California,60610,98838,49.8
06003,Alpine County, California,63438,1203,44.9
06039,Madera County, California,48210,154440,33.7
06045,Mendocino County, California,46528,87497,42.4
06087,Santa Cruz County, California,73663,273263,37.3
06105,Trinity County, California,36563,13037,51.4
06037,Los Angeles County, California,61015,10105722,36
06065,Riverside County, California,60807,2355002,35
06071,San Bernardino County, California,57156,2121220,32.9
06085,Santa Clara County, California,106761,1911226,37
06041,Marin County, California,104703,260814,46.1
06061,Placer County, California,80488,374985,41.6
06093,Siskiyou County, California,40884,43530,47.9
06089,Shasta County, California,47258,178919,41.8
06095,Solano County, California,72950,434981,37.7
06015,Del Norte County, California,41287,27442,38.7
06011,Colusa County, California,56481,21479,34.7
06021,Glenn County, California,46260,27935,36.8
06007,Butte County, California,46516,225207,36.9
06031,Kings County, California,49742,150183,31.5
06063,Plumas County, California,50266,18724,52.1
06079,San Luis Obispo County, California,67175,280119,39
06019,Fresno County, California,48730,971616,31.8
06029,Kern County, California,50826,878744,31.3
06059,Orange County, California,81851,3155816,37.5
06111,Ventura County, California,81972,847834,37.5
06009,Calaveras County, California,54800,45057,51.6
06101,Sutter County, California,54347,95583,35.7
06081,San Mateo County, California,105667,763450,39.6
06109,Tuolumne County, California,54325,53899,48.6
06077,San Joaquin County, California,57813,724153,33.9
06005,Amador County, California,60636,37306,50.6
08023,Costilla County, Colorado,29000,3628,51
08001,Adams County, Colorado,64087,487850,33.4
08021,Conejos County, Colorado,35657,8147,38.2
08027,Custer County, Colorado,41330,4505,58.2
08035,Douglas County, Colorado,111154,320940,38.1
08037,Eagle County, Colorado,83803,53726,36.5
08065,Lake County, Colorado,46176,7481,39.3
08067,La Plata County, Colorado,62533,54469,39.7
08081,Moffat County, Colorado,53010,13056,37.7
08097,Pitkin County, Colorado,67755,17747,43.3
08105,Rio Grande County, Colorado,38534,11430,40.7
08017,Cheyenne County, Colorado,54907,2127,35.8
08011,Bent County, Colorado,32500,5806,40.4
08025,Crowley County, Colorado,35292,5514,38.2
08033,Dolores County, Colorado,40352,1736,49.4
08111,San Juan County, Colorado,46397,569,46.9
08057,Jackson County, Colorado,45994,1372,49.2
08069,Larimer County, Colorado,64980,330976,35.7
08075,Logan County, Colorado,44876,21885,37.5
08083,Montezuma County, Colorado,45645,25770,44.1
08113,San Miguel County, Colorado,62243,7804,42
08119,Teller County, Colorado,66809,23769,49.8
08125,Yuma County, Colorado,44668,10109,35.8
08013,Boulder County, Colorado,75669,316782,36.2
08039,Elbert County, Colorado,92849,24553,45.6
08071,Las Animas County, Colorado,40586,14151,46
08073,Lincoln County, Colorado,44725,5520,38.5
08019,Clear Creek County, Colorado,68534,9257,47.2
08107,Routt County, Colorado,67472,24359,39.9
08117,Summit County, Colorado,73538,29722,39.2
08003,Alamosa County, Colorado,36315,16345,30.3
08029,Delta County, Colorado,42487,30217,47.8
08043,Fremont County, Colorado,44712,46601,44.8
08101,Pueblo County, Colorado,42386,163368,38.8
08085,Montrose County, Colorado,44865,40908,44.7
08087,Morgan County, Colorado,51456,28123,36.6
08093,Park County, Colorado,61644,16900,50.6
08109,Saguache County, Colorado,34765,6338,48.8
08077,Mesa County, Colorado,51971,148798,38.9
08099,Prowers County, Colorado,41740,12084,37.4
08053,Hinsdale County, Colorado,53056,820,57.2
08041,El Paso County, Colorado,62535,674826,34
08121,Washington County, Colorado,51458,4809,42.2
08049,Grand County, Colorado,66489,14793,44.1
08005,Arapahoe County, Colorado,69553,626612,36.4
08089,Otero County, Colorado,35051,18325,40.2
08095,Phillips County, Colorado,50076,4327,38.5
08007,Archuleta County, Colorado,48016,12592,49.8
08031,Denver County, Colorado,60098,678467,34.4
08061,Kiowa County, Colorado,39250,1368,41.1
08055,Huerfano County, Colorado,35801,6498,54.9
08009,Baca County, Colorado,35898,3581,47.6
08015,Chaffee County, Colorado,53762,18818,49.9
08047,Gilpin County, Colorado,72544,5793,45.2
08063,Kit Carson County, Colorado,45881,7846,38.4
08045,Garfield County, Colorado,66503,57945,36.2
08051,Gunnison County, Colorado,52651,16215,34.5
08059,Jefferson County, Colorado,75170,564029,40.4
08079,Mineral County, Colorado,50385,834,58.5
08091,Ouray County, Colorado,61333,4653,53.7
08103,Rio Blanco County, Colorado,57991,6557,35.9
08115,Sedgwick County, Colorado,49583,2357,48.4
08123,Weld County, Colorado,66489,285729,34.2
09009,New Haven County, Connecticut,64872,862127,40.1
09005,Litchfield County, Connecticut,76438,184454,46.9
09003,Hartford County, Connecticut,69936,897417,40.4
09015,Windham County, Connecticut,62553,116674,41
09011,New London County, Connecticut,69411,270772,41
09007,Middlesex County, Connecticut,81673,164110,45.1
09013,Tolland County, Connecticut,81312,151596,37.9
09001,Fairfield County, Connecticut,89773,947328,40.2
12113,Santa Rosa County, Florida,62731,166778,39.5
08014,Broomfield County, Colorado,85639,64283,37.8
10003,New Castle County, Delaware,68336,555036,37.8
10005,Sussex County, Delaware,57901,215551,48.3
10001,Kent County, Delaware,57647,173145,37.3
12081,Manatee County, Florida,53408,363542,47.6
12017,Citrus County, Florida,40574,141373,55.9
12075,Levy County, Florida,36554,39713,46.4
12003,Baker County, Florida,59506,27537,37.1
12127,Volusia County, Florida,43838,518660,46.4
12073,Leon County, Florida,49941,285890,30.5
12011,Broward County, Florida,54895,1890416,40.1
12079,Madison County, Florida,31816,18518,42.4
12087,Monroe County, Florida,63030,76745,46.7
12033,Escambia County, Florida,47361,309924,37
12053,Hernando County, Florida,44324,179144,48.9
12057,Hillsborough County, Florida,53742,1351087,36.8
12091,Okaloosa County, Florida,59955,197591,36.7
12123,Taylor County, Florida,37188,22350,41.4
12129,Wakulla County, Florida,57866,31586,40.7
12133,Washington County, Florida,36989,24472,41.9
12031,Duval County, Florida,51296,912043,36
12007,Bradford County, Florida,46106,26775,40.9
12009,Brevard County, Florida,51536,568183,47.1
12019,Clay County, Florida,61971,203291,39.4
12067,Lafayette County, Florida,41512,8684,39.2
12069,Lake County, Florida,49734,326215,46.6
12089,Nassau County, Florida,64294,78435,44.9
12103,Pinellas County, Florida,48968,949842,47.6
12105,Polk County, Florida,45988,652256,40.4
12111,St. Lucie County, Florida,47132,298763,44.6
12043,Glades County, Florida,37385,13197,45.8
12051,Hendry County, Florida,37966,39064,33.7
12061,Indian River County, Florida,49009,147981,52.2
12063,Jackson County, Florida,36944,48571,41.5
12099,Palm Beach County, Florida,57256,1426772,44.4
12109,St. Johns County, Florida,73640,226578,43.1
12117,Seminole County, Florida,60739,449260,39.1
12086,Miami-Dade County, Florida,46338,2702602,39.5
12005,Bay County, Florida,50283,180117,39.6
12035,Flagler County, Florida,51049,105015,50.3
12037,Franklin County, Florida,41267,11675,44.3
12045,Gulf County, Florida,44647,16018,44.3
12047,Hamilton County, Florida,36209,14238,41.1
12077,Liberty County, Florida,36741,8347,36.9
12097,Osceola County, Florida,47343,325168,35.7
12119,Sumter County, Florida,54771,116754,66.4
12131,Walton County, Florida,50619,63457,43.2
12039,Gadsden County, Florida,39830,46113,40.7
12059,Holmes County, Florida,37474,19483,42.2
12065,Jefferson County, Florida,47599,14085,46
12071,Lee County, Florida,52052,700165,47.8
12083,Marion County, Florida,41964,343778,48.5
12049,Hardee County, Florida,39063,27326,34.9
12021,Collier County, Florida,62407,356774,49.7
12093,Okeechobee County, Florida,39059,40228,41
12095,Orange County, Florida,51586,1290216,34.7
12001,Alachua County, Florida,45478,259865,31.2
11001,District of Columbia, District of Columbia,77649,672391,33.9
12101,Pasco County, Florida,48289,498136,44.5
12041,Gilchrist County, Florida,42934,17191,42.8
12055,Highlands County, Florida,36374,100177,53.1
12121,Suwannee County, Florida,40600,43814,41.7
12027,DeSoto County, Florida,35435,35675,40.7
12013,Calhoun County, Florida,36237,14458,40.3
12015,Charlotte County, Florida,46511,173236,58.1
12023,Columbia County, Florida,43504,68484,40.7
12029,Dixie County, Florida,35910,16323,47.6
12085,Martin County, Florida,55588,155719,51.6
12107,Putnam County, Florida,33619,72435,44.8
12115,Sarasota County, Florida,55236,404839,55.1
12125,Union County, Florida,37460,15300,39.8
13061,Clay County, Georgia,23315,3024,44.6
13101,Echols County, Georgia,34315,4011,38.1
13127,Glynn County, Georgia,47546,83467,40.8
13089,DeKalb County, Georgia,55876,736066,35.5
13143,Haralson County, Georgia,43663,28722,40.7
13181,Lincoln County, Georgia,37711,7768,47.9
13157,Jackson County, Georgia,57999,63851,38.7
13163,Jefferson County, Georgia,29640,15954,38.6
13169,Jones County, Georgia,55110,28540,39.7
13213,Murray County, Georgia,41617,39444,37.6
13215,Muscogee County, Georgia,43239,198647,33.7
13235,Pulaski County, Georgia,38750,11396,43.1
13241,Rabun County, Georgia,39297,16354,48.8
13259,Stewart County, Georgia,22413,5832,37
13281,Towns County, Georgia,41182,11173,53.3
13283,Treutlen County, Georgia,39375,6752,40.8
13287,Turner County, Georgia,42622,8036,40.2
13155,Irwin County, Georgia,34677,9278,39.7
13003,Atkinson County, Georgia,33063,8313,34.9
13001,Appling County, Georgia,37089,18471,39.3
13005,Bacon County, Georgia,38824,11279,37.6
13025,Brantley County, Georgia,36812,18411,40.3
13313,Whitfield County, Georgia,43871,103963,35.4
13037,Calhoun County, Georgia,29617,6503,38.4
13193,Macon County, Georgia,30851,13675,40.6
13285,Troup County, Georgia,43597,69433,36.2
13021,Bibb County, Georgia,38183,153923,36
13145,Harris County, Georgia,69539,33198,43.2
13197,Marion County, Georgia,39015,8558,43.3
13249,Schley County, Georgia,41267,5168,36.9
13321,Worth County, Georgia,40369,20809,42.1
13023,Bleckley County, Georgia,40688,12779,37.4
13093,Dooly County, Georgia,33389,14053,43.5
13109,Evans County, Georgia,38736,10757,37.3
13119,Franklin County, Georgia,39246,22328,41.1
13307,Webster County, Georgia,36658,2627,43.5
13103,Effingham County, Georgia,64279,57087,36.2
13171,Lamar County, Georgia,41157,18282,38.1
13125,Glascock County, Georgia,45273,3027,42.9
13107,Emanuel County, Georgia,33089,22502,37.2
13239,Quitman County, Georgia,26750,2140,52.6
13051,Chatham County, Georgia,52215,285506,34.9
13179,Liberty County, Georgia,43493,62120,27.9
13159,Jasper County, Georgia,42067,13732,42.2
13167,Johnson County, Georgia,36423,9800,41.6
13173,Lanier County, Georgia,31109,10388,33.8
13195,Madison County, Georgia,47653,28600,41
13205,Mitchell County, Georgia,34122,22574,38.8
13253,Seminole County, Georgia,33999,8549,44
13277,Tift County, Georgia,38728,40531,35.5
13289,Twiggs County, Georgia,30629,8323,46.3
13233,Polk County, Georgia,40652,41444,37.1
13263,Talbot County, Georgia,37226,6423,49.9
13269,Taylor County, Georgia,29875,8267,43.8
13273,Terrell County, Georgia,32219,8978,40.7
13275,Thomas County, Georgia,41336,44909,39.6
13279,Toombs County, Georgia,35750,27160,36.1
13319,Wilkinson County, Georgia,38711,9147,42.5
13017,Ben Hill County, Georgia,32344,17272,39
13033,Burke County, Georgia,38707,22645,37.4
13047,Catoosa County, Georgia,54537,65870,39.6
13053,Chattahoochee County, Georgia,46096,11096,23.7
13055,Chattooga County, Georgia,35718,24880,40.3
13073,Columbia County, Georgia,74162,143723,36.4
13087,Decatur County, Georgia,36934,27023,37.9
13115,Floyd County, Georgia,46096,96471,38.3
13117,Forsyth County, Georgia,96445,211300,38.2
13137,Habersham County, Georgia,44474,43878,39.5
13147,Hart County, Georgia,41216,25535,43
13185,Lowndes County, Georgia,39911,113941,30.1
13191,McIntosh County, Georgia,43285,14061,49.2
13199,Meriwether County, Georgia,36368,21152,42
13207,Monroe County, Georgia,50666,26795,43.3
13237,Putnam County, Georgia,48340,21430,45.6
13261,Sumter County, Georgia,34219,30687,35.2
13265,Taliaferro County, Georgia,30500,1844,43.3
13301,Warren County, Georgia,32860,5410,44.2
13007,Baker County, Georgia,43867,3251,43.6
13029,Bryan County, Georgia,68589,34883,34.8
13035,Butts County, Georgia,39655,23556,38.4
13043,Candler County, Georgia,33125,10894,37.9
13039,Camden County, Georgia,53687,52252,31.6
13045,Carroll County, Georgia,46844,114898,34.4
13079,Crawford County, Georgia,41032,12385,44.2
13099,Early County, Georgia,29493,10405,40.5
13081,Crisp County, Georgia,33194,23005,38.3
13069,Coffee County, Georgia,36572,43048,35.9
13077,Coweta County, Georgia,67570,138015,37.9
13067,Cobb County, Georgia,72004,739072,36.4
13123,Gilmer County, Georgia,46211,29614,46
13083,Dade County, Georgia,43163,16282,41.8
13297,Walton County, Georgia,55876,88695,38.9
13317,Wilkes County, Georgia,34234,9905,45.5
13027,Brooks County, Georgia,34890,15629,43.2
13091,Dodge County, Georgia,35290,21063,41.2
13129,Gordon County, Georgia,43452,56424,37
